| Dataset Name | Year Published | Chart Types Included | Synthetically Generated? | Underlying Data Linked/Included? | Bounding Boxes for All Elements Included? | Dataset Access Link | Codebase Link | Paper Title | Contains Histograms? | Contains Contour Plots (or 2D Histograms)? | Contains Multi-panel Plots (Sub-figures)? |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| ACA | 2017 | Area charts, bar charts, line charts, scatter plots | Not specified | No | Yes | Not specified | Not specified | "Reverse-engineering visualizations: Recovering visual encodings from chart images" | No | No | Not specified |
| AI2D | 2016 | Science diagrams (food webs, water cycles, anatomy, etc.) | No (scraped images) | No | Yes (constituent segmentations) | `http://allenai.org/plato/diagram_understanding` | Not specified | "A Diagram is Worth a Dozen Images" | No | No | Not specified |
| ACL-Fig | 2023 | 19 figure types (bar charts, pie charts, etc.) | Not specified | No | Yes | Not specified | Not specified | "ACL-Fig: A Dataset for Scientific Figure Classification" | Not specified | Not specified | Not specified |
| AutoChart | 2021 | Charts | Yes | Not specified | Not specified | Not specified | Not specified | "AutoChart: A Dataset for Chart-to-Text Generation Task" | Not specified | Not specified | Not specified |
| Chart-HQA | 2025 | Charts | Partially (human-AI interactive synthesis) | Not specified | Not specified | `https://github.com/chenxn2020/Chart-HQA` | `https://github.com/chenxn2020/Chart-HQA` | "Chart-HQA: A Benchmark for Hypothetical Question Answering in Charts" | Not specified | Not specified | Not specified |
| Chart-to-Text | 2022 | Wide range of topics and chart types | Not specified | Yes (underlying data table) | Not specified | Not specified | Not specified | "Chart-to-Text: A Large-Scale Benchmark for Chart Summarization" | Not specified | Not specified | Not specified |
| ChartCheck | 2023 | Real-world charts | No | Not specified | Not specified | Not specified | Not specified | "ChartCheck: Explainable Fact-Checking over Real-World Chart Images" | Not specified | Not specified | Not specified |
| ChartComplete | 2026 | 30 different chart types based on taxonomy | Not specified | No (does not include a learning signal) | Not specified | "this https URL" (URL omitted in source) | "this https URL" (URL omitted in source) | "ChartComplete: A Taxonomy-based Inclusive Chart Dataset" | Not specified | Not specified | Not specified |
| ChartDQA | 2025 | Wide range of chart types | Partially (synthesizes paired data) | Yes | Not specified | "this https URL" (URL omitted in source) | "this https URL" (URL omitted in source) | "In-Depth and In-Breadth: Pre-training Multimodal Language Models Customized for Comprehensive Chart Understanding" | Not specified | Not specified | Not specified |
| ChartGalaxy | 2025 | Infographic charts (75 types, 440 variations) | Yes (created programmatically) | Yes | Not specified | Not specified | Not specified | "ChartGalaxy: A Dataset for Infographic Chart Understanding and Generation" | Not specified | Not specified | Not specified |
| ChartInsights | 2024 | 7 chart types | Partially (altered visual elements/noise) | Not specified | Not specified | Not specified | Not specified | "ChartInsights: Evaluating Multimodal Large Language Models for Low-Level Chart Question Answering" | Not specified | Not specified | Not specified |
| ChartLlama Dataset | 2023 | Wide variety of chart and task types | Yes (GPT-4 generated) | Yes (tabular data generated) | Not specified | Not specified | Not specified | "ChartLlama: A Multimodal LLM for Chart Understanding and Generation" | Not specified | Not specified | Not specified |
| ChartQA | 2022 | Charts | Not specified | Yes (data tables) | Not specified | Not specified | Not specified | "ChartQA: A Benchmark for Question Answering about Charts with Visual and Logical Reasoning" | Not specified | Not specified | Not specified |
| ChartQA-X | 2025 | 4 chart types | Partially (model-generated explanations) | Not specified | Not specified | "this https URL" (URL omitted in source) | "this https URL" (URL omitted in source) | "ChartQA-X: Generating Explanations for Visual Chart Reasoning" | Not specified | Not specified | Not specified |
| ChartQAPro | 2025 | Various chart types, infographics, dashboards | No (sourced from diverse real-world sources) | Not specified | Not specified | `https://github.com/vis-nlp/ChartQAPro` | Not specified | "ChartQAPro: A More Diverse and Challenging Benchmark for Chart Question Answering" | Not specified | Not specified | Not specified |
| ChartSense | 2017 | 10 chart types | Not specified | No | No | Not specified | Not specified | "ChartSense: Interactive data extraction from chart images" | Not specified | Not specified | Not specified |
| ChartSFT | 2024 | Basic (bars, pies) and specialized (radars, bubbles) charts | Not specified | Yes (chart-to-table pre-training) | Not specified | `https://github.com/OpenGVLab/ChartAst` | `https://github.com/OpenGVLab/ChartAst` | "ChartAssistant: A Universal Chart Multimodal Language Model via Chart-to-Table Pre-training and Multitask Instruction Tuning" | Not specified | Not specified | Not specified |
| ChartSumm | 2022 | Wide range of topics and chart types | Not specified | Yes (tabular data) | Not specified | Not specified | Not specified | "ChartSumm: A Comprehensive Benchmark for Automatic Chart Summarization of Long and Short Summaries" | Not specified | Not specified | Not specified |
| CHART-Synthetic | 2019 | Pie, donut, vertical/horizontal box, grouped/stacked bar, line, scatter charts | Yes | Yes (CSV) | Partially (bounding boxes for bars, points for line/scatter/boxplots) | `https://github.com/adobe-research/CHART-Synthetic` | `https://github.com/adobe-research/CHART-Synthetic` | N/A (GitHub Repository) | No | No | Not specified |
| CHOCOLATE | 2024 | Structured document images, charts | Not specified | Not specified | Not specified | "this https URL" (URL omitted in source) | "this https URL" (URL omitted in source) | "Do LVLMs Understand Charts? Analyzing and Correcting Factual Errors in Chart Captioning" | Not specified | Not specified | Not specified |
| DaTikZv2 / SketchFig / MetaFig | 2024 | Scientific figures, sketches, TikZ graphics | Partially (synthetically generated sketches) | Yes (TikZ graphics programs) | Not specified | Publicly available | Publicly available | "DeTikZify: Synthesizing Graphics Programs for Scientific Figures and Sketches with TikZ" | Not specified | Not specified | Not specified |
| DVQA | 2018 | Bar charts | Yes | Not specified | Not specified | Not specified | Not specified | "Dvqa: Understanding data visualizations via question answering" | No | No | No |
| EvoChart-QA | 2024 | Real-world charts | Partially (EvoChart method generates synthetic data) | Not specified | Not specified | Not specified | Not specified | "EvoChart: A Benchmark and a Self-Training Approach Towards Real-World Chart Understanding" | Not specified | Not specified | Not specified |
| ExcelChart400K | 2021 | Bar, line, pie charts, etc. | Yes (likely Excel-generated) | Yes | Not specified | `https://github.com/soap117/DeepRule` | `https://github.com/soap117/DeepRule` | "ChartOCR: Data Extraction From Charts Images via a Deep Hybrid Framework" | Not specified | Not specified | Not specified |
| FigureQA | 2018 | Line plots, dot-line plots, vertical/horizontal bar graphs, pie charts | Yes | Yes (numerical data used to generate each figure) | Yes | Not specified | Not specified | "FigureQA: An Annotated Figure Dataset for Visual Reasoning" | No | No | No |
| FigureSeer | 2016 | 7 categories of figures | Not specified | No | No | Not specified | Not specified | "FigureSeer: Parsing result-figures in research papers" | Not specified | Not specified | Not specified |
| GenPlot | 2023 | 5 categories of plots | Yes | No | No | Not specified | Not specified | "GenPlot: Increasing the scale and diversity of chart derendering data" | Not specified | Not specified | Not specified |
| IconQA | 2021 | Abstract diagrams, icon images | Not specified | Not specified | Not specified | "this https URL" (URL omitted in source) | "this https URL" (URL omitted in source) | "IconQA: A New Benchmark for Abstract Diagram Understanding and Visual Language Reasoning" | No | No | No |
| LEAF-QA | 2020 | 4 figure categories | Yes | Yes | No | Not specified | Not specified | "LEAF-QA: Locate, encode & attend for figure question answering" | Not specified | Not specified | Not specified |
| M-Paper | 2024 | Scientific diagrams, figures, tables | No (extracted from LaTeX source files) | Yes (LaTeX codes) | Not specified | `https://github.com/X-PLUG/mPLUG-DocOwl/tree/main/PaperOwl` | `https://github.com/X-PLUG/mPLUG-DocOwl/tree/main/PaperOwl` | "mPLUG-PaperOwl: Scientific Diagram Analysis with the Multimodal Large Language Model" | Not specified | Not specified | Not specified |
| MapIQ | 2025 | Choropleth maps, cartograms, proportional symbol maps | Not specified | Not specified | Not specified | Not specified | Not specified | "MapIQ: Evaluating Multimodal Large Language Models for Map Question Answering" | No | No | No |
| MapQA | 2022 | Choropleth maps | Not specified | Yes (underlying structured data) | Not specified | Not specified | Not specified | "MapQA: A Dataset for Question Answering on Choropleth Maps" | No | No | No |
| MathV360K | 2024 | Multimodal mathematical images | Partially (includes 320K synthetic pairs) | Not specified | Not specified | "this https URL" (URL omitted in source) | "this https URL" (URL omitted in source) | "Math-LLaVA: Bootstrapping Mathematical Reasoning for Multimodal Large Language Models" | Not specified | Not specified | Not specified |
