Name,Dataset Link,Date,has types?,has individual aspects annotated?,Links to original Data which is potentially different from plot,paper name,citations
FigureQA,https://www.microsoft.com/en-us/research/project/figureqa-dataset/downloads/,2018,"line, bar, pie",yes,no,FigureQA: An Annotated Figure Dataset for Visual Reasoning,kahou_figureqa_2018
ChartLlama,https://huggingface.co/datasets/listen2you002/ChartLlama-Dataset,2023,"funnel, gantt, heatmap, scatter, box, candlestick",no,no,ChartLlama: A Multimodal LLM for Chart Understanding and Generation,han_chartllama_2023
ChartAssistant/ChartSFT,https://huggingface.co/datasets/FanqingM/ChartAssistant,2024,"box, arrow, pie, horizontal bar, vertical bar, horizontal stacked bar, vertical stacked bar, dot line, line, nightengaile-rose",no,partial,ChartAssistant: A Universal Chart Multimodal Language Model via Chart-to-Table Pre-training and Multitask Instruction Tuning,meng_chartassistant_2024
MMCA,https://huggingface.co/datasets/xywang1/MMC,2024,"line, bar, pie, scatter, heatmap, histogram, Radar",no,no,MMC: Advancing Multimodal Chart Understanding with Large-scale Instruction Tuning,liu_mmc_2024
Chart2Text/Chart-to-text,https://github.com/JasonObeid/Chart2Text; https://github.com/vis-nlp/Chart-to-text/tree/main ,2020/2022,"Bar, Line, Pie, Table, scatter, area",partial,yes,Chart-to-Text: Generating Natural Language Descriptions for Charts by Adapting the Transformer Model; Chart-to-Text: A Large-Scale Benchmark for Chart Summarization,"kantharaj_chart--text_2022,obeid_chart--text_2020"
Chocolate,https://huggingface.co/datasets/khhuang/CHOCOLATE,2024,"line, bar",no,yes,Do LVLMs Understand Charts? Analyzing and Correcting Factual Errors in Chart Captioning,huang_lvlms_2024
Leaf-qa,unavailable,2020,"Group Bar, Stack bar, Pie, Donut, Box, Line, Scatter",yes,no,"LEAF-QA: Locate, Encode & Attend for Figure Question Answering",chaudhry_leaf-qa_2020
ChartQA/ChartQAPro,https://huggingface.co/datasets/ahmed-masry/ChartQA and https://huggingface.co/datasets/ahmed-masry/ChartQAhttps://huggingface.co/datasets/ahmed-masry/ChartQAPro,2022/2025,"bar, pie, line",yes,yes,ChartQA: A Benchmark for Question Answering about Charts with Visual and Logical Reasoning; ChartQAPro: A More Diverse and Challenging Benchmark for Chart Question Answering,"masry_chartqa_2022,masry_chartqapro_2025"
ChartCheck,https://github.com/mubasharaak/chartfc_dataset_wikicommons,2023,"horizontal/vertical bar, line, area charts, pie, donuts charts, and scatterplots",no,yes,ChartCheck: Explainable Fact-Checking over Real-World Chart Images,akhtar_chartcheck_2024
OpenCQA,https://github.com/vis-nlp/OpenCQA,2022,"bar, line, area, scatter, pie",yes,partial,OpenCQA: Open-ended Question Answering with Charts,kantharaj_opencqa_2022
